-1 112 
-1 112 
-1 112 114 
-1 112 114 
-1 112 114 
-1 111 112 114 
-1 111 112 114 
-1 111 112 114 
-1 111 112 114 
-1 111 112 114 
-1 111 112 113 114 
-1 111 112 113 114 
-1 111 112 113 114 
-1 111 112 113 114 
-1 111 112 113 114 
-1 111 112 113 114 
-1 111 112 113 114 
-1 111 112 113 114 
-1 111 112 113 114 
-1 111 112 113 114 
-1 111 112 113 114 
-1 111 112 113 114 
-1 111 112 113 114 
